Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Notre Dame VT,Eastside HP,Ian Beier,Aff,"SValderama																																																												28.9																																																																																								LTyomkin																																																												28.2","MHuan																																																												28.3																																																																																								HPalmer																																																												28.5"
Greenhill GR,Rowland Hall DC,Maggie Berthiaume,Aff,"RGhelani																																																												29.0																																																																																								RReddy																																																												29.1","SDrakou																																																												28.8																																																																																								EChen																																																												28.7"
Carrollton School of the Sacred Heart DK,New Trier SY,Jared Zuckerman,Aff,"Gdi Mauro																																																												29.1																																																																																								KKlotz																																																												29.0","LYe																																																												28.8																																																																																								RShah																																																												28.9"
College Prep HY,New Trier HL,Alaina Walberg,Neg,"EYe																																																												29.2																																																																																								JHolloway-Butts																																																												28.9","NHeftman																																																												29.1																																																																																								GLeaker																																																												29.3"
Westwood BZ,Taipei American YM,Neel Patel,Neg,"NBalakrishnan																																																												28.9																																																																																								ZZhang																																																												29.0","SMaeng																																																												29.1																																																																																								BYao																																																												29.2"
Peninsula CP,Quarry Lane GK,Charlie Hale,Aff,"EChoe																																																												29.6																																																																																								CPan																																																												29.5","AGandhi																																																												29.2																																																																																								SKhan																																																												29.4"
Winston Churchill FV,Georgetown Day XM,Sabarish Ravi,Neg,"DFencl																																																												28.9																																																																																								SVan Klaveren																																																												28.8","AMangalam																																																												29.6																																																																																								JXu																																																												29.3"
Jesuit SV,Glenbrook South MS,Will Katz,Neg,"JShu																																																												28.5																																																																																								CVopni																																																												28.9","PMartinez																																																												29.6																																																																																								LSamet																																																												29.4"
Bellarmine  KY,Liberal Arts and Science JL,Will Kochel,Aff,"AYoo																																																												28.7																																																																																								KKochar																																																												28.8","SLim																																																												29.2																																																																																								VJallepalli																																																												29.1"
St Mark's School of Texas LM,Northview BJ,Sean Duff,Aff,"MLin																																																												27.8																																																																																								CMcCormick																																																												27.9","HJiang																																																												28.1																																																																																								TBai																																																												28.0"
Alief Taylor NT,Quarry Lane KM,Lindsay Jade Feinstein,Neg,"KNguyen																																																												28.1																																																																																								ITahir																																																												28.2","NMehta																																																												29.3																																																																																								PKhanna																																																												29.2"
Coppell SP,Peninsula PL,Mike Shackelford,Neg,"SPilly																																																												28.7																																																																																								HSenthil Kumar																																																												28.5","JPan																																																												28.6																																																																																								TLiu																																																												28.8"
Berkeley Prep JJ,St Mark's School of Texas BK,Jake Lee,Neg,"SJannu																																																												28.2																																																																																								YJashnani																																																												28.3","SKeon																																																												29.0																																																																																								DBarnes																																																												28.9"
Berkeley Prep NG,Notre Dame VO,Matt Cekanor,Aff,"JNestor																																																												29.1																																																																																								SGowda																																																												29.3","EVoegele																																																												28.8																																																																																								EOga																																																												28.7"
Glenbrook South EV,Liberal Arts and Science BT,David Griffith,Neg,"JEnkhsaikhan																																																												28.8																																																																																								MVan Horn																																																												28.9","MBrooks																																																												29.4																																																																																								STames																																																												29.2"
New Trier MY,Meadows WC,Jacob Bosley,Aff,"RMa																																																												29.6																																																																																								SYang																																																												29.5","JWu																																																												28.6																																																																																								EChen																																																												28.5"
Damien-St. Lucy's KP,Rowland Hall LV,Dustin Meyers-Levy,Neg,"RPedersen																																																												28.5																																																																																								SKhan																																																												28.4","ELieberman																																																												29.4																																																																																								RVenkatesan																																																												29.3"
Little Rock Central WB,Westwood ND,Cody Morrow,Aff,"RWilkerson																																																												28.9																																																																																								kbuckner																																																												29.1","WDu																																																												29.0																																																																																								ANandigam																																																												28.8"
Greenhill BS,Mamaroneck WM,Tim Freehan,Aff,"ABose																																																												29.2																																																																																								MSunkara																																																												29.3","JWinter-Hamaoui																																																												29.1																																																																																								IMincemoyer																																																												29.0"
Little Rock Central LW,Collegiate AB,Rafael Sanchez,Aff,"SWu																																																												29.8																																																																																								JLiu																																																												29.9","KArora																																																												28.9																																																																																								ABelman																																																												29.0"
Westwood GL,New Tech HS @ B.F. Darrell AA,Dustyn Beutelspacher,Aff,"NGupta																																																												29.8																																																																																								RLaxminarasimhan																																																												29.4","JArias																																																												28.8																																																																																								GArias																																																												28.7"
Collegiate AK,Newark Science OO,Peter Susko,Aff,"VKitkowski																																																												28.9																																																																																								RArora																																																												28.8","MOlagadeyo																																																												28.7																																																																																								AOdra																																																												29.0"
Liberal Arts and Science CV,Georgetown Day GK,Oliver Johnston,Aff,"JConley																																																												29.6																																																																																								AVidal																																																												29.5","SGerety																																																												29.4																																																																																								AKimbrell																																																												29.3"
Isidore Newman AW,Brearley MM,Greg Tan,Aff,"AWang																																																												29.8																																																																																								SAgrawal																																																												29.9","JMoor																																																												29.6																																																																																								NMegalli																																																												29.7"
Quarry Lane SA,St Mark's School of Texas CL,Mishelle Kamyshnikov,Aff,"AArora																																																												29.3																																																																																								VSingamsetti																																																												29.2","AChoi																																																												28.6																																																																																								CLang																																																												28.5"
Notre Dame PR,Carrollton School of the Sacred Heart RG,shreyas rajagopal,Neg,"TPark																																																												29.2																																																																																								MRosas																																																												29.1","LRoos																																																												29.6																																																																																								CGiampetruzzi																																																												29.8"
Montgomery Bell BV,Rowland Hall VU,Rohan Chalamalasetti,Aff,"EBrandes																																																												29.5																																																																																								AVari																																																												29.0","CVezina																																																												29.1																																																																																								IUtgaard																																																												28.9"
Glenbrook North KS,Georgetown Day NK,Valerie McIntosh,Neg,"AKrishna																																																												28.3																																																																																								GSwinger																																																												28.2","AKim																																																												28.7																																																																																								RNoland																																																												28.8"
North Broward Prep AG,Little Rock Central BW,Alex Mojica,Neg,"WAtherton																																																												28.8																																																																																								AGujarathi																																																												28.7","GBatcheller																																																												29.0																																																																																								HWare																																																												28.9"
Barack Obama Male Leadership Academy (HS) VJ,North Broward Prep MS,Patrick Fox,Aff,"JValle																																																												29.2																																																																																								CJeffries																																																												29.3","JStein																																																												28.5																																																																																								RMarder																																																												28.6"
Washburn Rural CC,Glenbrook North KW,Aayan Ali,Neg,"GChidambaranathan																																																												29.3																																																																																								ZChaudhry																																																												29.2","JWeisman																																																												29.4																																																																																								LKohler																																																												29.5"
St Mark's School of Texas JD,Liberal Arts and Science LR,Dana Randall,Neg,"ADing																																																												28.6																																																																																								AJakkamreddy																																																												28.4","ARaghavan																																																												29.2																																																																																								RLiu																																																												29.1"
Whitney Young BM,Calvert Hall CG,Christopher Fry,Aff,"SMohan																																																												29.4																																																																																								DBoss																																																												29.5","GCorboy																																																												28.3																																																																																								AGeorge																																																												28.4"
Bellarmine  SC,Glenbrook North GV,Zach Thiede,Aff,"RSontakke																																																												28.8																																																																																								JChang																																																												29.1","OGreen																																																												28.4																																																																																								AVass																																																												28.5"
Coppell MG,College Prep NT,Jessica Dickey,Neg,"SGandhari																																																												28.3																																																																																								AMadhu																																																												28.4","ATarnas																																																												29.6																																																																																								KNahm																																																												29.8"
Greenhill HK,Walter Payton BR,Henry Walawender,Neg,"AHaq																																																												29.0																																																																																								TKhan																																																												29.1","KBendre																																																												29.6																																																																																								NRout																																																												29.2"
Richland AG,Brooklyn Technical GS,Suhani Jampala,Aff,"AGanta																																																												28.9																																																																																								AAgrawal																																																												29.0","NSukhlal																																																												28.2																																																																																								CGrider																																																												28.3"
